metric,count,mean,std,min,25%,50%,75%,max,missing
wti,6628.0,72.3773854304137,21.44837864703324,18.84000015258789,54.18000030517578,71.6500015258789,89.55000305175781,127.3499984741211,0
brent,6628.0,78.0715391467088,23.887247864423212,25.270000457763672,60.43000030517578,75.16499710083008,98.16999816894533,127.77999877929688,0
exchange,6628.0,1192.9763617978415,120.66716555382654,1010.7000122070312,1109.0,1155.510009765625,1260.9100341796875,1558.84,0
domestic_price,6628.0,1663.915571816536,195.3365572042349,1247.58,1522.18,1647.4299999999998,1822.7225,2144.9,0
gasoline_price,6628.0,1663.915571816536,195.3365572042349,1247.58,1522.18,1647.4299999999998,1822.7225,2144.9,0
diesel_price,6628.0,1530.8023260712132,179.70963262789607,1147.7736,1400.4056,1515.6356,1676.9047,1973.308,0
lpg_price,6628.0,898.5144087809294,105.48174089028683,673.6932,821.9772,889.6122,984.2701500000001,1158.246,0
risk_index,6628.0,0.02073311708772552,0.11175560791887697,0.0,0.0,2.3739073804985973e-238,6.959714223346726e-40,1.0,0
news_risk_index,6628.0,0.002263126131563066,0.04752204877386912,0.0,0.0,0.0,0.0,1.0,0
domestic_return,6628.0,2.849619704402864e-05,0.0017666625615122688,-0.0234343925398859,-0.0004418545917981,-6.51826747799511e-06,0.000518889088997925,0.0319553525215472,0
volatility_7d,6628.0,0.0004951146857621048,0.0008606586162140026,0.0,0.000144533647787825,0.00027095507573885,0.000513949878537775,0.0143332136870618,0
domestic_ma7,6628.0,1663.7686662355952,195.12281842688057,1248.042857142857,1521.422857142857,1647.652857142857,1822.887857142857,2135.2228571428573,0
domestic_ma30,6628.0,1663.2290995952571,193.71023317012705,1254.5763333333334,1519.1273333333334,1646.9671666666663,1818.7442499999997,2112.294,0
