event,fuel_type,date,before_mean,after_mean,peak_change_pct,trough_change_pct,duration_days
글로벌 금융위기,휘발유,2008-09-15,1730.0446666666671,1710.1567741935485,0.011595547309828369,-1.3543599257884953,31
글로벌 금융위기,경유,2008-09-15,1591.6410933333334,1573.3442322580647,0.011595547309828369,-1.3543599257884953,31
글로벌 금융위기,LPG,2008-09-15,934.22412,923.4846580645163,0.011595547309828369,-1.3543599257885064,31
코로나19 팬데믹,휘발유,2020-03-11,1530.155,1420.216129032258,-0.35613198144923697,-10.72980479183554,31
코로나19 팬데믹,경유,2020-03-11,1407.7426000000003,1306.5988387096775,-0.35613198144922587,-10.72980479183554,31
코로나19 팬데믹,LPG,2020-03-11,826.2837,766.9167096774196,-0.35613198144923697,-10.72980479183554,31
러시아-우크라이나 전쟁,휘발유,2022-02-24,1695.118,1898.7648387096774,14.984079630532698,0.18071770746679316,31
러시아-우크라이나 전쟁,경유,2022-02-24,1559.5085600000004,1746.8636516129034,14.984079630532676,0.18071770746679316,31
러시아-우크라이나 전쟁,LPG,2022-02-24,915.36372,1025.333012903226,14.984079630532698,0.18071770746679316,31
중동 분쟁,휘발유,2023-10-07,1778.5306666666665,1763.8545161290324,-0.11762607173517736,-3.790235363637373,31
중동 분쟁,경유,2023-10-07,1636.2482133333338,1622.7461548387096,-0.11762607173517736,-3.790235363637373,31
중동 분쟁,LPG,2023-10-07,960.4065599999998,952.4814387096774,-0.11762607173516626,-3.790235363637373,31
이란-미국 긴장 및 호르무즈 봉쇄 리스크,휘발유,2026-06-05,2011.1970000000001,2010.1233333333332,0.000994930827435958,-0.0094518428606305,3
이란-미국 긴장 및 호르무즈 봉쇄 리스크,경유,2026-06-05,1850.3012399999998,1849.3134666666665,0.000994930827435958,-0.0094518428606305,3
이란-미국 긴장 및 호르무즈 봉쇄 리스크,LPG,2026-06-05,1086.04638,1085.4666,0.000994930827435958,-0.009451842860619397,3
