date,domestic_article_count,domestic_relevant_article_count,domestic_average_risk_score,domestic_max_risk_score
2021-10-06,1,1,7.0,7
2021-10-07,1,1,7.0,7
2021-11-01,1,1,7.0,7
2021-11-11,1,1,7.0,7
2022-01-01,1,1,7.0,7
2022-01-04,1,1,7.0,7
2022-01-14,1,1,7.0,7
2022-01-20,2,2,7.0,7
2022-02-03,1,1,7.0,7
2022-02-18,1,1,7.0,7
2022-02-24,1,1,7.0,7
2022-03-01,1,1,7.0,7
2022-05-03,1,1,7.0,7
2022-07-26,1,1,7.0,7
2022-08-11,1,1,7.0,7
2022-09-06,2,2,7.0,7
2022-09-13,1,1,7.0,7
2022-10-06,1,1,7.0,7
2022-10-18,1,1,7.0,7
2022-10-20,1,1,7.0,7
2022-11-28,1,1,7.0,7
2023-01-04,1,1,7.0,7
2023-02-02,2,2,7.0,7
2023-02-04,1,1,7.0,7
2023-02-15,1,1,7.0,7
2023-02-24,2,2,7.0,7
2023-03-19,1,1,7.0,7
2023-04-17,1,1,7.0,7
2023-04-20,1,1,7.0,7
2023-04-26,1,1,7.0,7
2023-04-27,1,1,7.0,7
2023-05-24,1,1,7.0,7
2023-06-13,1,1,7.0,7
2023-06-22,1,1,7.0,7
2023-06-26,1,1,7.0,7
2023-07-10,1,1,7.0,7
2023-07-20,1,1,7.0,7
2023-08-01,1,1,7.0,7
2023-08-04,1,1,7.0,7
2023-08-10,1,1,7.0,7
2023-08-26,1,1,7.0,7
2023-09-04,1,1,7.0,7
2023-10-04,1,1,7.0,7
2023-10-11,1,1,7.0,7
2023-11-06,1,1,7.0,7
2023-11-20,1,1,7.0,7
2023-12-12,1,1,7.0,7
2023-12-18,1,1,7.0,7
2024-01-01,1,1,7.0,7
2024-01-02,3,3,7.0,7
2024-01-03,2,2,7.0,7
2024-01-04,2,2,7.0,7
2024-01-12,1,1,7.0,7
2024-01-13,1,1,7.0,7
2024-02-11,1,1,7.0,7
2024-02-18,1,1,7.0,7
2024-03-04,1,1,7.0,7
2024-03-06,1,1,7.0,7
2024-03-07,1,1,7.0,7
2024-03-14,1,1,7.0,7
2024-03-17,1,1,7.0,7
2024-03-21,1,1,7.0,7
2024-03-27,1,1,7.0,7
2024-04-03,1,1,7.0,7
2024-04-08,1,1,7.0,7
2024-04-17,2,2,7.0,7
2024-04-29,1,1,7.0,7
2024-05-17,1,1,7.0,7
2024-05-28,1,1,7.0,7
2024-06-07,1,1,7.0,7
2024-06-18,1,1,7.0,7
2024-06-30,1,1,7.0,7
2024-07-09,1,1,7.0,7
2024-07-29,1,1,7.0,7
2024-08-01,1,1,7.0,7
2024-09-10,1,1,7.0,7
2024-09-12,1,1,7.0,7
2024-09-23,2,2,7.0,7
2024-09-27,1,1,7.0,7
2024-10-02,2,2,7.0,7
2024-10-03,1,1,7.0,7
2024-10-16,1,1,7.0,7
2024-10-17,1,1,7.0,7
2024-10-23,1,1,7.0,7
2024-11-06,1,1,7.0,7
2024-11-10,1,1,7.0,7
2024-11-25,1,1,7.0,7
2024-12-12,1,1,7.0,7
2024-12-31,1,1,7.0,7
