date,kor_article_count,kor_relevant_article_count,kor_average_risk_score,kor_max_risk_score
2009-06-03,1,1,3.0,3
2011-06-23,1,1,1.0,1
2013-12-12,1,1,3.0,3
2017-02-28,1,1,0.0,0
2018-07-31,1,1,0.0,0
2018-10-07,1,1,0.0,0
2019-04-14,1,1,2.0,2
2019-12-29,1,1,6.0,6
2020-12-17,1,1,0.0,0
2021-05-13,1,1,3.0,3
2021-09-10,1,1,0.0,0
2021-09-27,1,1,1.0,1
2021-10-06,1,1,1.0,1
2021-10-07,1,1,0.0,0
2021-10-19,1,1,0.0,0
2021-10-20,2,2,-4.0,-3
2021-10-21,2,2,-2.5,0
2021-10-23,2,2,0.5,1
2021-10-24,3,3,0.0,0
2021-10-25,1,1,0.0,0
2021-10-26,5,5,0.0,0
2021-10-27,2,2,-1.5,0
2021-10-28,2,2,-1.0,1
2021-11-01,3,3,2.0,5
2021-11-02,3,3,2.3333333333333335,5
2021-11-03,3,3,3.0,5
2021-11-04,6,6,3.6666666666666665,5
2021-11-05,6,6,1.8333333333333333,5
2021-11-07,5,5,2.6,5
2021-11-08,5,5,2.4,5
2021-11-09,2,2,3.5,5
2021-11-11,9,9,1.1111111111111112,6
2021-11-12,2,2,2.0,5
2021-11-14,1,1,2.0,2
2021-11-17,1,1,-3.0,-3
2021-11-24,1,1,5.0,5
2021-11-27,1,1,-3.0,-3
2021-11-29,1,1,0.0,0
2021-12-03,1,1,5.0,5
2021-12-04,1,1,-3.0,-3
2021-12-05,2,2,1.0,3
2021-12-10,1,1,0.0,0
2021-12-11,1,1,-5.0,-5
2021-12-16,1,1,2.0,2
2021-12-19,1,1,-5.0,-5
2021-12-31,1,1,5.0,5
2022-01-01,1,1,1.0,1
2022-01-04,1,1,0.0,0
2022-01-14,1,1,0.0,0
2022-01-20,2,2,0.0,0
2022-01-26,1,1,3.0,3
2022-01-30,1,1,-1.0,-1
2022-02-03,1,1,-2.0,-2
2022-02-06,2,2,-1.5,0
2022-02-11,1,1,0.0,0
2022-02-13,1,1,0.0,0
2022-02-18,1,1,0.0,0
2022-02-23,1,1,-1.0,-1
2022-02-24,1,1,0.0,0
2022-03-01,1,1,2.0,2
2022-03-10,1,1,0.0,0
2022-03-12,1,1,0.0,0
2022-03-16,4,4,0.75,3
2022-03-21,1,1,0.0,0
2022-03-23,1,1,0.0,0
2022-03-24,2,2,0.0,0
2022-03-25,1,1,0.0,0
2022-03-27,1,1,0.0,0
2022-04-04,1,1,1.0,1
2022-04-05,4,4,0.5,2
2022-04-17,1,1,-3.0,-3
2022-04-26,1,1,0.0,0
2022-04-29,4,4,-2.25,0
2022-04-30,1,1,3.0,3
2022-05-02,1,1,0.0,0
2022-05-03,1,1,0.0,0
2022-05-09,1,1,0.0,0
2022-05-10,1,1,1.0,1
2022-05-11,4,4,0.0,0
2022-05-12,1,1,0.0,0
2022-05-13,1,1,0.0,0
2022-05-14,1,1,-1.0,-1
2022-05-15,2,2,1.5,3
2022-05-25,1,1,0.0,0
2022-05-26,1,1,0.0,0
2022-05-27,1,1,0.0,0
2022-05-28,1,1,0.0,0
2022-06-06,1,1,0.0,0
2022-06-07,1,1,3.0,3
2022-06-10,1,1,2.0,2
2022-06-14,1,1,0.0,0
2022-06-19,2,2,0.0,0
2022-06-20,2,2,0.0,0
2022-06-25,1,1,3.0,3
2022-06-27,2,2,0.5,1
2022-06-30,1,1,0.0,0
2022-07-01,2,2,-0.5,0
2022-07-04,1,1,1.0,1
2022-07-07,1,1,0.0,0
2022-07-12,1,1,-2.0,-2
2022-07-13,1,1,0.0,0
2022-07-18,1,1,0.0,0
2022-07-22,2,2,-1.5,0
2022-07-25,1,1,-2.0,-2
2022-07-26,1,1,0.0,0
2022-07-30,2,2,-1.5,-1
2022-08-02,1,1,0.0,0
2022-08-11,1,1,0.0,0
2022-08-15,1,1,0.0,0
2022-08-16,2,2,-1.5,0
2022-09-06,2,2,0.0,0
2022-09-08,1,1,0.0,0
2022-09-13,1,1,0.0,0
2022-10-06,1,1,0.0,0
2022-10-12,1,1,3.0,3
2022-10-17,1,1,3.0,3
2022-10-18,3,3,0.0,3
2022-10-19,1,1,3.0,3
2022-10-20,1,1,0.0,0
2022-10-29,1,1,0.0,0
2022-11-01,1,1,0.0,0
2022-11-14,1,1,0.0,0
2022-11-18,1,1,0.0,0
2022-11-23,1,1,4.0,4
2022-11-24,1,1,0.0,0
2022-11-27,1,1,0.0,0
2022-11-28,4,4,3.5,10
2022-11-29,6,6,5.0,7
2022-11-30,12,12,4.333333333333333,9
2022-12-01,7,7,3.142857142857143,6
2022-12-02,4,4,3.5,7
2022-12-03,2,2,5.0,10
2022-12-05,6,6,5.0,7
2022-12-06,12,12,2.6666666666666665,7
2022-12-07,1,1,1.0,1
2022-12-08,2,2,2.0,4
2022-12-09,2,2,-4.0,0
2022-12-11,1,1,-2.0,-2
2022-12-19,3,3,-0.6666666666666666,2
2022-12-21,1,1,0.0,0
2023-01-01,1,1,-1.0,-1
2023-01-02,1,1,0.0,0
2023-01-03,2,2,-1.5,0
2023-01-04,1,1,0.0,0
2023-01-08,1,1,1.0,1
2023-01-13,1,1,3.0,3
2023-01-14,2,2,-0.5,0
2023-01-18,3,3,-1.0,0
2023-01-21,2,2,0.5,1
2023-02-02,2,2,0.0,2
