date,article_count,relevant_article_count,average_risk_score,max_risk_score
2008-06-04,1,1,0.0,0
2008-06-05,2,2,0.0,0
2008-06-06,1,1,0.0,0
2008-06-09,1,1,2.0,2
2008-06-24,1,1,0.0,0
2008-07-29,1,1,2.0,2
2008-08-12,1,1,0.0,0
2008-08-20,1,1,0.0,0
2008-08-29,1,1,0.0,0
2008-09-16,1,1,2.0,2
2008-09-18,1,1,0.0,0
2008-09-19,1,1,2.0,2
2008-09-29,1,1,0.0,0
2008-09-30,1,1,2.0,2
2008-10-08,2,2,2.0,2
2008-10-10,1,1,2.0,2
2008-10-12,1,1,2.0,2
2008-10-15,1,1,2.0,2
2008-10-17,1,1,0.0,0
2008-10-23,1,1,2.0,2
2008-10-24,2,2,3.0,4
2008-10-27,1,1,2.0,2
2008-10-28,1,1,0.0,0
2008-10-30,1,1,2.0,2
2008-10-31,1,1,2.0,2
2008-11-02,1,1,0.0,0
2008-11-03,2,2,2.0,2
2008-11-06,1,1,2.0,2
2008-11-11,2,2,1.0,2
2008-11-12,1,1,0.0,0
2008-11-13,1,1,2.0,2
2008-11-18,1,1,0.0,0
2008-11-20,2,2,2.0,2
2008-11-30,1,1,2.0,2
2008-12-02,1,1,2.0,2
2008-12-03,2,2,2.0,2
2008-12-12,2,2,2.0,2
2008-12-15,1,1,0.0,0
2008-12-24,1,1,0.0,0
2008-12-25,1,1,2.0,2
2008-12-27,1,1,2.0,2
2008-12-28,1,1,0.0,0
2008-12-31,1,1,2.0,2
2009-01-01,1,1,2.0,2
2009-01-07,1,1,2.0,2
2009-01-12,1,1,2.0,2
2009-01-25,1,1,2.0,2
2009-02-01,1,1,0.0,0
2009-02-02,1,1,2.0,2
2009-02-07,1,1,2.0,2
2009-02-09,1,1,2.0,2
2009-02-10,1,1,2.0,2
2009-02-13,1,1,2.0,2
2009-02-23,1,1,2.0,2
2009-02-24,1,1,0.0,0
2009-02-28,1,1,0.0,0
2009-03-06,1,1,0.0,0
2009-03-10,2,2,2.0,2
2009-03-11,1,1,2.0,2
2009-03-18,1,1,2.0,2
2009-03-22,1,1,2.0,2
2009-04-04,1,1,2.0,2
2009-04-15,1,1,2.0,2
2009-04-25,1,1,2.0,2
2009-04-29,1,1,4.0,4
2009-05-01,1,1,2.0,2
2009-06-03,1,1,0.0,0
2009-06-05,1,1,2.0,2
2009-06-08,1,1,2.0,2
2009-06-10,2,2,2.5,5
2009-06-17,1,1,0.0,0
2009-06-23,1,1,2.0,2
2009-06-29,1,1,2.0,2
2020-02-03,2,2,0.0,0
2020-02-07,1,1,0.0,0
2020-02-13,1,1,0.0,0
2020-02-26,1,1,0.0,0
2020-03-02,1,1,2.0,2
2020-03-03,1,1,2.0,2
2020-03-04,1,1,0.0,0
2020-03-05,1,1,0.0,0
2020-03-06,1,1,0.0,0
2020-03-08,1,1,0.0,0
