date,diesel_price_krw
2008-04-15,1585.35
2008-04-16,1600.81
2008-04-17,1594.53
2008-04-18,1602.15
2008-04-19,1606.71
2008-04-20,1608.21
2008-04-21,1610.82
2008-04-22,1614.47
2008-04-23,1620.02
2008-04-24,1635.52
2008-04-25,1646.75
2008-04-26,1655.3
2008-04-27,1652.37
2008-04-28,1657.51
2008-04-29,1660.29
2008-04-30,1663.93
2008-05-01,1673.26
2008-05-02,1678.24
2008-05-03,1682.21
2008-05-04,1683.82
2008-05-05,1684.45
2008-05-06,1685.74
2008-05-07,1687.59
2008-05-08,1689.63
2008-05-09,1693.17
2008-05-10,1696.56
2008-05-11,1698.54
2008-05-12,1699.45
2008-05-13,1701.1
2008-05-14,1708.19
2008-05-15,1731.62
2008-05-16,1745.05
2008-05-17,1753.52
2008-05-18,1756.24
2008-05-19,1759.28
2008-05-20,1763.87
2008-05-21,1781.44
2008-05-22,1824.86
2008-05-23,1843.96
2008-05-24,1852.46
2008-05-25,1855.06
2008-05-26,1858.86
2008-05-27,1861.59
2008-05-28,1868.6
2008-05-29,1892.24
2008-05-30,1903.62
2008-05-31,1908.62
2008-06-01,1912.19
2008-06-02,1914.49
2008-06-03,1916.94
2008-06-04,1917.92
2008-06-05,1914.49
2008-06-06,1913.47
2008-06-07,1913.36
2008-06-08,1913.57
2008-06-09,1912.17
2008-06-10,1912.24
2008-06-11,1911.32
2008-06-12,1908.04
2008-06-13,1907.2
2008-06-14,1906.58
2008-06-15,1906.23
2008-06-16,1905.27
2008-06-17,1905.21
2008-06-18,1905.52
2008-06-19,1906.96
2008-06-20,1907.58
2008-06-21,1907.46
2008-06-22,1907.34
2008-06-23,1906.0
2008-06-24,1906.07
2008-06-25,1905.52
2008-06-26,1905.83
2008-06-27,1909.36
2008-06-28,1905.64
2008-06-29,1905.63
2008-06-30,1904.41
2008-07-01,1904.82
2008-07-02,1906.15
2008-07-03,1908.98
2008-07-04,1910.45
2008-07-05,1911.67
2008-07-06,1912.65
2008-07-07,1914.09
2008-07-08,1916.52
2008-07-09,1921.0
2008-07-10,1931.56
2008-07-11,1937.38
2008-07-12,1941.77
2008-07-13,1943.47
2008-07-14,1943.84
2008-07-15,1945.81
2008-07-16,1947.75
2008-07-17,1943.8
2008-07-18,1942.85
2008-07-19,1941.98
2008-07-20,1941.57
2008-07-21,1938.79
2008-07-22,1937.7
2008-07-23,1933.82
2008-07-24,1921.33
2008-07-25,1912.13
2008-07-26,1907.43
2008-07-27,1904.92
2008-07-28,1900.5
2008-07-29,1898.01
2008-07-30,1892.6
2008-07-31,1879.16
2008-08-01,1867.08
2008-08-02,1862.44
2008-08-03,1860.14
2008-08-04,1854.98
2008-08-05,1851.61
2008-08-06,1845.62
2008-08-07,1832.42
2008-08-08,1822.06
2008-08-09,1815.0
2008-08-10,1811.93
2008-08-11,1806.28
2008-08-12,1799.37
2008-08-13,1789.36
2008-08-14,1770.6
2008-08-15,1759.76
2008-08-16,1753.28
2008-08-17,1749.72
2008-08-18,1742.59
2008-08-19,1736.92
2008-08-20,1731.05
2008-08-21,1716.91
2008-08-22,1706.98
2008-08-23,1701.07
2008-08-24,1698.31
2008-08-25,1692.73
2008-08-26,1688.32
2008-08-27,1684.8
2008-08-28,1680.26
2008-08-29,1678.08
2008-08-30,1676.3
2008-08-31,1675.48
2008-09-01,1672.64
2008-09-02,1671.47
2008-09-03,1670.72
2008-09-04,1673.65
2008-09-05,1672.25
2008-09-06,1672.54
2008-09-07,1672.56
2008-09-08,1671.38
2008-09-09,1672.24
2008-09-10,1672.23
2008-09-11,1671.49
2008-09-12,1672.32
2008-09-13,1672.44
2008-09-14,1672.28
2008-09-15,1672.03
2008-09-16,1670.34
2008-09-17,1669.32
2008-09-18,1658.06
2008-09-19,1652.13
2008-09-20,1647.44
2008-09-21,1645.74
2008-09-22,1642.91
2008-09-23,1642.09
2008-09-24,1641.0
2008-09-25,1642.27
2008-09-26,1642.83
2008-09-27,1642.77
2008-09-28,1642.32
2008-09-29,1641.19
2008-09-30,1641.55
2008-10-01,1642.77
2008-10-02,1649.86
2008-10-03,1650.41
2008-10-04,1650.87
2008-10-05,1651.16
2008-10-06,1650.02
2008-10-07,1650.59
2008-10-08,1648.28
2008-10-09,1637.09
2008-10-10,1631.97
2008-10-11,1628.78
2008-10-12,1627.45
2008-10-13,1625.09
2008-10-14,1622.46
2008-10-15,1620.22
2008-10-16,1615.64
2008-10-17,1613.21
2008-10-18,1608.42
2008-10-19,1606.92
2008-10-20,1601.91
2008-10-21,1598.85
2008-10-22,1592.71
2008-10-23,1570.3
2008-10-24,1548.11
2008-10-25,1533.17
2008-10-26,1527.75
2008-10-27,1518.02
2008-10-28,1511.0
2008-10-29,1505.27
2008-10-30,1498.93
2008-10-31,1492.93
2008-11-01,1486.44
2008-11-02,1483.71
2008-11-03,1478.21
2008-11-04,1473.68
2008-11-05,1468.78
2008-11-06,1460.62
2008-11-07,1450.98
2008-11-08,1445.36
2008-11-09,1443.46
2008-11-10,1439.84
2008-11-11,1434.34
2008-11-12,1429.57
2008-11-13,1421.46
2008-11-14,1412.47
2008-11-15,1406.66
2008-11-16,1404.48
2008-11-17,1399.49
2008-11-18,1395.44
2008-11-19,1391.58
2008-11-20,1384.83
2008-11-21,1377.49
2008-11-22,1373.35
2008-11-23,1371.33
2008-11-24,1367.14
2008-11-25,1364.38
2008-11-26,1361.16
2008-11-27,1356.67
2008-11-28,1352.8
2008-11-29,1349.9
2008-11-30,1348.67
2008-12-01,1344.27
2008-12-02,1341.89
2008-12-03,1340.2
2008-12-04,1337.44
2008-12-05,1336.22
2008-12-06,1335.17
2008-12-07,1334.54
2008-12-08,1332.83
2008-12-09,1331.7
2008-12-10,1328.91
2008-12-11,1320.02
2008-12-12,1311.88
2008-12-13,1306.09
2008-12-14,1304.14
2008-12-15,1300.57
2008-12-16,1297.91
2008-12-17,1295.38
2008-12-18,1289.05
2008-12-19,1283.77
2008-12-20,1280.75
2008-12-21,1279.4
2008-12-22,1276.63
2008-12-23,1274.95
2008-12-24,1273.36
2008-12-25,1271.64
2008-12-26,1270.23
2008-12-27,1270.0
2008-12-28,1269.49
2008-12-29,1268.69
2008-12-30,1268.45
2008-12-31,1269.05
2009-01-01,1275.89
2009-01-02,1275.86
2009-01-03,1276.27
2009-01-04,1276.22
2009-01-05,1275.7
2009-01-06,1276.33
2009-01-07,1277.18
2009-01-08,1281.24
2009-01-09,1283.18
2009-01-10,1285.27
2009-01-11,1286.02
2009-01-12,1286.38
2009-01-13,1287.37
2009-01-14,1289.86
2009-01-15,1298.12
2009-01-16,1303.96
2009-01-17,1309.16
2009-01-18,1311.29
2009-01-19,1313.66
2009-01-20,1317.42
2009-01-21,1321.99
2009-01-22,1325.4
2009-01-23,1330.12
2009-01-24,1333.51
2009-01-25,1335.08
2009-01-26,1335.54
2009-01-27,1335.73
2009-01-28,1335.85
2009-01-29,1333.16
2009-01-30,1332.71
2009-01-31,1332.55
2009-02-01,1332.07
2009-02-02,1331.64
2009-02-03,1331.17
2009-02-04,1331.02
2009-02-05,1330.83
2009-02-06,1330.71
2009-02-07,1330.44
2009-02-08,1330.28
2009-02-09,1329.49
2009-02-10,1328.94
2009-02-11,1327.82
2009-02-12,1324.67
2009-02-13,1323.08
2009-02-14,1321.72
2009-02-15,1321.09
2009-02-16,1319.87
2009-02-17,1318.71
2009-02-18,1317.64
2009-02-19,1316.11
2009-02-20,1314.36
2009-02-21,1313.48
2009-02-22,1312.91
2009-02-23,1311.56
2009-02-24,1310.26
2009-02-25,1308.94
2009-02-26,1306.75
2009-02-27,1305.73
2009-02-28,1305.34
2009-03-01,1304.45
2009-03-02,1303.36
2009-03-03,1302.27
2009-03-04,1301.93
2009-03-05,1305.12
2009-03-06,1306.92
2009-03-07,1307.86
2009-03-08,1308.16
2009-03-09,1307.68
2009-03-10,1307.53
2009-03-11,1307.7
2009-03-12,1307.14
2009-03-13,1307.71
2009-03-14,1307.57
2009-03-15,1307.7
2009-03-16,1306.74
2009-03-17,1306.57
2009-03-18,1305.93
2009-03-19,1303.46
2009-03-20,1300.93
2009-03-21,1299.16
2009-03-22,1297.29
2009-03-23,1297.46
2009-03-24,1297.01
2009-03-25,1297.26
2009-03-26,1302.68
2009-03-27,1307.67
2009-03-28,1310.76
2009-03-29,1312.45
2009-03-30,1313.24
2009-03-31,1315.05
2009-04-01,1319.65
2009-04-02,1324.41
2009-04-03,1329.84
2009-04-04,1332.83
2009-04-05,1334.02
2009-04-06,1334.62
2009-04-07,1335.67
2009-04-08,1335.72
2009-04-09,1333.78
2009-04-10,1334.32
2009-04-11,1334.51
2009-04-12,1334.8
2009-04-13,1334.39
2009-04-14,1334.52
2009-04-15,1334.64
