date,lpg_price_krw
2008-12-23,1053.94
2008-12-24,1053.69
2008-12-25,1054.03
2008-12-26,1054.02
2008-12-27,1054.07
2008-12-28,1054.04
2008-12-29,1054.06
2008-12-30,1053.45
2008-12-31,1054.05
2009-01-01,868.44
2009-01-02,850.44
2009-01-03,850.38
2009-01-04,850.64
2009-01-05,850.27
2009-01-06,850.21
2009-01-07,850.16
2009-01-08,850.02
2009-01-09,850.01
2009-01-10,850.08
2009-01-11,850.36
2009-01-12,850.1
2009-01-13,849.86
2009-01-14,850.26
2009-01-15,850.22
2009-01-16,850.01
2009-01-17,849.39
2009-01-18,848.96
2009-01-19,849.03
2009-01-20,849.05
2009-01-21,849.11
2009-01-22,848.92
2009-01-23,849.25
2009-01-24,852.86
2009-01-25,848.94
2009-01-26,848.83
2009-01-27,848.89
2009-01-28,849.09
2009-01-29,848.82
2009-01-30,848.65
2009-01-31,848.78
2009-02-01,848.82
2009-02-02,848.83
2009-02-03,848.63
2009-02-04,848.87
2009-02-05,848.95
2009-02-06,848.82
2009-02-07,848.68
2009-02-08,848.82
2009-02-09,848.71
2009-02-10,848.33
2009-02-11,848.81
2009-02-12,848.64
2009-02-13,848.47
2009-02-14,848.62
2009-02-15,848.69
2009-02-16,848.48
2009-02-17,848.47
2009-02-18,848.49
2009-02-19,848.3
2009-02-20,848.62
2009-02-21,848.5
2009-02-22,848.45
2009-02-23,848.66
2009-02-24,848.5
2009-02-25,848.43
2009-02-26,848.64
2009-02-27,848.46
2009-02-28,849.7
2009-03-01,890.61
2009-03-02,893.22
2009-03-03,894.72
2009-03-04,894.9
2009-03-05,894.96
2009-03-06,894.95
2009-03-07,895.07
2009-03-08,895.2
2009-03-09,895.09
2009-03-10,895.09
2009-03-11,894.93
2009-03-12,895.15
2009-03-13,895.1
2009-03-14,895.06
2009-03-15,895.29
2009-03-16,895.38
2009-03-17,895.08
2009-03-18,895.19
2009-03-19,895.24
2009-03-20,895.18
2009-03-21,895.29
2009-03-22,889.3
2009-03-23,895.44
2009-03-24,894.99
2009-03-25,895.1
2009-03-26,895.05
2009-03-27,894.89
2009-03-28,895.05
2009-03-29,895.18
2009-03-30,895.17
2009-03-31,894.94
2009-04-01,894.79
2009-04-02,894.87
2009-04-03,895.04
2009-04-04,894.83
2009-04-05,894.87
2009-04-06,894.9
2009-04-07,894.97
2009-04-08,894.79
2009-04-09,895.05
2009-04-10,894.81
2009-04-11,894.9
2009-04-12,895.13
2009-04-13,895.13
2009-04-14,894.95
2009-04-15,894.81
2009-04-16,896.04
2009-04-17,895.93
2009-04-18,896.29
2009-04-19,896.21
2009-04-20,896.61
2009-04-21,896.23
2009-04-22,896.14
2009-04-23,896.01
2009-04-24,896.22
2009-04-25,896.18
2009-04-26,896.37
2009-04-27,891.04
2009-04-28,896.07
2009-04-29,896.21
2009-04-30,896.25
2009-05-01,813.91
2009-05-02,811.13
2009-05-03,810.45
2009-05-04,810.0
2009-05-05,810.62
2009-05-06,801.29
2009-05-07,800.88
2009-05-08,800.83
2009-05-09,800.99
2009-05-10,800.77
2009-05-11,800.14
2009-05-12,800.29
2009-05-13,800.11
2009-05-14,799.83
2009-05-15,800.04
2009-05-16,799.95
2009-05-17,799.78
2009-05-18,800.23
2009-05-19,799.69
2009-05-20,800.03
2009-05-21,799.91
2009-05-22,799.96
2009-05-23,800.18
2009-05-24,799.88
2009-05-25,799.61
2009-05-26,799.9
2009-05-27,799.84
2009-05-28,800.26
2009-05-29,799.81
2009-05-30,799.77
2009-05-31,797.54
2009-06-01,757.4
2009-06-02,756.23
2009-06-03,756.66
2009-06-04,756.4
2009-06-05,756.25
2009-06-06,754.49
2009-06-07,754.36
2009-06-08,754.48
2009-06-09,754.46
2009-06-10,754.03
2009-06-11,754.11
2009-06-12,753.79
2009-06-13,753.1
2009-06-14,753.41
2009-06-15,754.21
2009-06-16,753.83
2009-06-17,753.85
2009-06-18,754.01
2009-06-19,754.05
2009-06-20,754.01
2009-06-21,753.82
2009-06-22,754.04
2009-06-23,754.39
2009-06-24,753.9
2009-06-25,753.88
2009-06-26,753.77
2009-06-27,753.62
2009-06-28,753.56
2009-06-29,753.71
2009-06-30,753.89
2009-07-01,753.37
2009-07-02,754.24
2009-07-03,753.88
2009-07-04,753.62
2009-07-05,754.3
2009-07-06,753.74
2009-07-07,754.08
2009-07-08,754.44
2009-07-09,754.31
2009-07-10,754.12
2009-07-11,754.21
2009-07-12,754.02
2009-07-13,753.83
2009-07-14,754.02
2009-07-15,753.83
2009-07-16,754.12
2009-07-17,753.9
2009-07-18,754.0
2009-07-19,754.04
2009-07-20,754.1
2009-07-21,754.18
2009-07-22,754.14
2009-07-23,753.86
2009-07-24,753.86
2009-07-25,753.75
2009-07-26,753.95
2009-07-27,753.98
2009-07-28,754.09
2009-07-29,754.25
2009-07-30,753.97
2009-07-31,754.99
2009-08-01,802.87
2009-08-02,803.84
2009-08-03,803.08
2009-08-04,803.39
2009-08-05,803.68
2009-08-06,803.8
2009-08-07,803.39
2009-08-08,803.85
2009-08-09,803.67
2009-08-10,803.26
2009-08-11,803.82
2009-08-12,803.9
2009-08-13,804.48
2009-08-14,804.33
2009-08-15,804.25
2009-08-16,804.16
2009-08-17,804.26
2009-08-18,804.1
2009-08-19,804.19
2009-08-20,804.28
2009-08-21,804.03
2009-08-22,804.36
2009-08-23,804.29
2009-08-24,804.38
2009-08-25,804.31
2009-08-26,804.33
2009-08-27,803.62
2009-08-28,803.42
2009-08-29,804.21
2009-08-30,804.02
2009-08-31,804.34
2009-09-01,804.17
2009-09-02,804.37
2009-09-03,804.45
2009-09-04,804.35
2009-09-05,804.21
2009-09-06,804.25
2009-09-07,804.43
2009-09-08,804.74
2009-09-09,804.22
2009-09-10,804.29
2009-09-11,804.34
2009-09-12,804.1
2009-09-13,804.19
2009-09-14,804.41
2009-09-15,804.39
2009-09-16,804.42
2009-09-17,804.38
2009-09-18,804.26
2009-09-19,804.48
2009-09-20,804.57
2009-09-21,804.45
2009-09-22,804.17
2009-09-23,804.1
2009-09-24,804.07
2009-09-25,804.05
2009-09-26,804.25
2009-09-27,804.14
2009-09-28,804.01
2009-09-29,804.12
2009-09-30,804.1
2009-10-01,804.0
2009-10-02,803.92
2009-10-03,803.63
2009-10-04,804.0
2009-10-05,803.8
2009-10-06,804.22
2009-10-07,804.06
2009-10-08,803.94
2009-10-09,803.96
2009-10-10,803.96
2009-10-11,803.85
2009-10-12,804.07
2009-10-13,804.0
2009-10-14,796.51
2009-10-15,803.86
2009-10-16,803.97
2009-10-17,804.01
2009-10-18,803.97
2009-10-19,803.95
2009-10-20,803.87
2009-10-21,803.99
2009-10-22,804.08
2009-10-23,804.02
2009-10-24,804.03
2009-10-25,803.97
2009-10-26,804.13
2009-10-27,803.94
2009-10-28,804.0
2009-10-29,804.24
2009-10-30,803.87
2009-10-31,805.74
2009-11-01,855.36
2009-11-02,855.32
2009-11-03,856.36
2009-11-04,856.53
2009-11-05,856.31
2009-11-06,856.64
2009-11-07,856.55
2009-11-08,856.65
2009-11-09,856.67
2009-11-10,856.59
2009-11-11,856.75
2009-11-12,856.81
2009-11-13,856.54
2009-11-14,856.61
2009-11-15,856.53
2009-11-16,856.51
2009-11-17,856.66
2009-11-18,856.75
2009-11-19,856.6
2009-11-20,856.68
2009-11-21,856.57
2009-11-22,856.49
2009-11-23,856.53
2009-11-24,856.55
2009-11-25,856.56
2009-11-26,856.53
2009-11-27,856.58
2009-11-28,856.57
2009-11-29,856.47
2009-11-30,857.73
2009-12-01,900.61
2009-12-02,901.48
2009-12-03,901.89
2009-12-04,901.86
2009-12-05,901.87
2009-12-06,901.63
2009-12-07,901.77
2009-12-08,902.4
2009-12-09,901.79
2009-12-10,901.52
2009-12-11,901.75
2009-12-12,901.58
2009-12-13,901.66
2009-12-14,901.62
2009-12-15,901.72
2009-12-16,901.62
2009-12-17,901.79
2009-12-18,901.85
2009-12-19,901.78
2009-12-20,901.77
2009-12-21,901.49
2009-12-22,901.47
2009-12-23,901.79
2009-12-24,901.64
2009-12-25,901.93
2009-12-26,901.8
2009-12-27,901.53
2009-12-28,901.77
2009-12-29,902.08
2009-12-30,902.02
2009-12-31,903.3
2010-01-01,955.17
2010-01-02,955.43
2010-01-03,956.07
2010-01-04,955.86
2010-01-05,956.31
2010-01-06,956.58
2010-01-07,956.1
2010-01-08,956.19
2010-01-09,956.65
2010-01-10,956.7
2010-01-11,956.53
2010-01-12,956.75
2010-01-13,956.64
2010-01-14,956.83
2010-01-15,957.14
2010-01-16,957.05
2010-01-17,957.01
2010-01-18,957.29
2010-01-19,957.12
2010-01-20,956.97
2010-01-21,957.11
2010-01-22,956.9
2010-01-23,957.24
2010-01-24,956.98
2010-01-25,954.36
2010-01-26,957.2
2010-01-27,956.95
2010-01-28,957.2
2010-01-29,956.81
2010-01-30,957.08
2010-01-31,956.7
2010-02-01,952.17
2010-02-02,952.16
2010-02-03,952.32
2010-02-04,952.31
2010-02-05,952.14
2010-02-06,951.89
2010-02-07,952.39
2010-02-08,952.28
2010-02-09,952.27
2010-02-10,952.23
2010-02-11,952.27
2010-02-12,952.22
2010-02-13,952.0
2010-02-14,952.16
2010-02-15,952.24
2010-02-16,952.09
2010-02-17,951.95
2010-02-18,952.27
2010-02-19,952.03
2010-02-20,951.91
2010-02-21,952.17
2010-02-22,951.9
2010-02-23,952.01
2010-02-24,951.63
2010-02-25,952.12
2010-02-26,952.21
2010-02-27,951.91
2010-02-28,952.85
2010-03-01,984.99
2010-03-02,986.12
2010-03-03,986.59
2010-03-04,986.39
2010-03-05,986.29
2010-03-06,986.08
2010-03-07,986.14
2010-03-08,986.38
2010-03-09,986.17
2010-03-10,986.34
2010-03-11,986.47
2010-03-12,986.25
2010-03-13,986.43
2010-03-14,986.39
