date,usd_krw,usd_krw_change_rate,source
2008-01-01,,,
2008-01-02,,,
2008-01-03,,,
2008-01-04,,,
2008-01-05,,,
2008-01-06,,,
2008-01-07,,,
2008-01-08,,,
2008-01-09,,,
2008-01-10,,,
2008-01-11,,,
2008-01-12,,,
2008-01-13,,,
2008-01-14,,,
2008-01-15,,,
2008-01-16,,,
2008-01-17,,,
2008-01-18,,,
2008-01-19,,,
2008-01-20,,,
2008-01-21,,,
2008-01-22,,,
2008-01-23,,,
2008-01-24,,,
2008-01-25,,,
2008-01-26,,,
2008-01-27,,,
2008-01-28,,,
2008-01-29,,,
2008-01-30,,,
2008-01-31,,,
2008-02-01,,,
2008-02-02,,,
2008-02-03,,,
2008-02-04,,,
2008-02-05,,,
2008-02-06,,,
2008-02-07,,,
2008-02-08,,,
2008-02-09,,,
2008-02-10,,,
2008-02-11,,,
2008-02-12,,,
2008-02-13,,,
2008-02-14,,,
2008-02-15,,,
2008-02-16,,,
2008-02-17,,,
2008-02-18,,,
2008-02-19,,,
2008-02-20,,,
2008-02-21,,,
2008-02-22,,,
2008-02-23,,,
2008-02-24,,,
2008-02-25,,,
2008-02-26,,,
2008-02-27,,,
2008-02-28,,,
2008-02-29,,,
2008-03-01,,,
2008-03-02,,,
2008-03-03,,,
2008-03-04,,,
2008-03-05,,,
2008-03-06,,,
2008-03-07,,,
2008-03-08,,,
2008-03-09,,,
2008-03-10,,,
2008-03-11,,,
2008-03-12,,,
2008-03-13,,,
2008-03-14,,,
2008-03-15,,,
2008-03-16,,,
2008-03-17,,,
2008-03-18,,,
2008-03-19,,,
2008-03-20,,,
2008-03-21,,,
2008-03-22,,,
2008-03-23,,,
2008-03-24,,,
2008-03-25,,,
2008-03-26,,,
2008-03-27,,,
2008-03-28,,,
2008-03-29,,,
2008-03-30,,,
2008-03-31,,,
2008-04-01,,,
2008-04-02,,,
2008-04-03,,,
2008-04-04,,,
2008-04-05,,,
2008-04-06,,,
2008-04-07,,,
2008-04-08,,,
2008-04-09,,,
2008-04-10,,,
2008-04-11,,,
2008-04-12,,,
2008-04-13,,,
2008-04-14,,,
2008-04-15,991.3,,existing_project_raw_oil_project_csv
2008-04-16,989.1,-0.002219307979420937,existing_project_raw_oil_project_csv
2008-04-17,991.6,0.0025275502982509135,existing_project_raw_oil_project_csv
2008-04-18,1000.0,0.008471157724889045,existing_project_raw_oil_project_csv
2008-04-19,1000.0,0.0,existing_project_raw_oil_project_csv
2008-04-20,1000.0,0.0,existing_project_raw_oil_project_csv
2008-04-21,997.5,-0.0024999999999999467,existing_project_raw_oil_project_csv
2008-04-22,996.8,-0.0007017543859649811,existing_project_raw_oil_project_csv
2008-04-23,990.7,-0.006119582664526391,existing_project_raw_oil_project_csv
2008-04-24,995.65,0.004996467144443351,existing_project_raw_oil_project_csv
2008-04-25,994.0,-0.0016572088585345979,existing_project_raw_oil_project_csv
2008-04-26,994.0,0.0,existing_project_raw_oil_project_csv
2008-04-27,994.0,0.0,existing_project_raw_oil_project_csv
2008-04-28,996.3,0.002313883299798647,existing_project_raw_oil_project_csv
2008-04-29,1001.55,0.005269497139415824,existing_project_raw_oil_project_csv
2008-04-30,1005.0,0.0034446607757976366,existing_project_raw_oil_project_csv
2008-05-01,1028.0999755859375,0.02298505033426612,existing_project_raw_oil_project_csv
2008-05-02,1009.0,-0.01857793603686453,existing_project_raw_oil_project_csv
2008-05-03,1009.0,0.0,existing_project_raw_oil_project_csv
2008-05-04,1009.0,0.0,existing_project_raw_oil_project_csv
2008-05-05,1007.8,-0.0011892963330030204,existing_project_raw_oil_project_csv
2008-05-06,1015.0,0.007144274657670202,existing_project_raw_oil_project_csv
2008-05-07,1030.0,0.014778325123152802,existing_project_raw_oil_project_csv
2008-05-08,1040.5,0.010194174757281571,existing_project_raw_oil_project_csv
2008-05-09,1044.0,0.0033637674195099443,existing_project_raw_oil_project_csv
2008-05-10,1044.0,0.0,existing_project_raw_oil_project_csv
2008-05-11,1044.0,0.0,existing_project_raw_oil_project_csv
2008-05-12,1043.0,-0.0009578544061302763,existing_project_raw_oil_project_csv
2008-05-13,1047.0,0.003835091083413289,existing_project_raw_oil_project_csv
2008-05-14,1047.0,0.0,existing_project_raw_oil_project_csv
2008-05-15,1043.0,-0.00382043935052534,existing_project_raw_oil_project_csv
2008-05-16,1037.0,-0.005752636625119822,existing_project_raw_oil_project_csv
2008-05-17,1037.0,0.0,existing_project_raw_oil_project_csv
2008-05-18,1037.0,0.0,existing_project_raw_oil_project_csv
2008-05-19,1041.0,0.0038572806171648377,existing_project_raw_oil_project_csv
2008-05-20,1047.0,0.0057636887608070175,existing_project_raw_oil_project_csv
2008-05-21,1039.0,-0.0076408787010505685,existing_project_raw_oil_project_csv
2008-05-22,1044.0,0.004812319538017418,existing_project_raw_oil_project_csv
2008-05-23,1045.5,0.001436781609195359,existing_project_raw_oil_project_csv
2008-05-24,1045.5,0.0,existing_project_raw_oil_project_csv
2008-05-25,1045.5,0.0,existing_project_raw_oil_project_csv
2008-05-26,1045.5,0.0,existing_project_raw_oil_project_csv
2008-05-27,1041.0,-0.004304160688665681,existing_project_raw_oil_project_csv
2008-05-28,1033.5,-0.007204610951008661,existing_project_raw_oil_project_csv
2008-05-29,1030.0,-0.0033865505563618337,existing_project_raw_oil_project_csv
2008-05-30,1028.5,-0.0014563106796116054,existing_project_raw_oil_project_csv
2008-05-31,1028.5,0.0,existing_project_raw_oil_project_csv
2008-06-01,1046.0,0.017015070491006368,existing_project_raw_oil_project_csv
2008-06-02,1022.3,-0.022657743785850948,existing_project_raw_oil_project_csv
2008-06-03,1016.8,-0.005380025432847546,existing_project_raw_oil_project_csv
2008-06-04,1019.0,0.0021636506687647827,existing_project_raw_oil_project_csv
2008-06-05,1023.0,0.003925417075564264,existing_project_raw_oil_project_csv
2008-06-06,1030.5,0.007331378299120228,existing_project_raw_oil_project_csv
2008-06-07,1030.5,0.0,existing_project_raw_oil_project_csv
2008-06-08,1030.5,0.0,existing_project_raw_oil_project_csv
2008-06-09,1032.0,0.0014556040756914523,existing_project_raw_oil_project_csv
2008-06-10,1027.5,-0.0043604651162790775,existing_project_raw_oil_project_csv
2008-06-11,1030.3,0.0027250608272506582,existing_project_raw_oil_project_csv
2008-06-12,1033.3,0.002911773269921314,existing_project_raw_oil_project_csv
2008-06-13,1044.0,0.010355172747507968,existing_project_raw_oil_project_csv
2008-06-14,1044.0,0.0,existing_project_raw_oil_project_csv
2008-06-15,1044.0,0.0,existing_project_raw_oil_project_csv
2008-06-16,1038.5,-0.005268199233716464,existing_project_raw_oil_project_csv
2008-06-17,1021.8,-0.01608088589311507,existing_project_raw_oil_project_csv
2008-06-18,1029.25,0.007291055000978819,existing_project_raw_oil_project_csv
2008-06-19,1028.0,-0.0012144765606023622,existing_project_raw_oil_project_csv
2008-06-20,1031.5,0.003404669260700377,existing_project_raw_oil_project_csv
2008-06-21,1031.5,0.0,existing_project_raw_oil_project_csv
2008-06-22,1031.5,0.0,existing_project_raw_oil_project_csv
2008-06-23,1036.8,0.005138148327678005,existing_project_raw_oil_project_csv
2008-06-24,1032.5,-0.004147376543209846,existing_project_raw_oil_project_csv
2008-06-25,1034.3,0.0017433414043583895,existing_project_raw_oil_project_csv
2008-06-26,1041.3,0.006767862322343721,existing_project_raw_oil_project_csv
2008-06-27,1041.75,0.0004321521175454368,existing_project_raw_oil_project_csv
2008-06-28,1041.75,0.0,existing_project_raw_oil_project_csv
2008-06-29,1041.75,0.0,existing_project_raw_oil_project_csv
2008-06-30,1046.8,0.004847612191024586,existing_project_raw_oil_project_csv
2008-07-01,1010.7000122070312,-0.034486041070852846,existing_project_raw_oil_project_csv
2008-07-02,1036.5,0.025526850184388827,existing_project_raw_oil_project_csv
2008-07-03,1044.5,0.0077182826821031725,existing_project_raw_oil_project_csv
2008-07-04,1044.5,0.0,existing_project_raw_oil_project_csv
2008-07-05,1044.5,0.0,existing_project_raw_oil_project_csv
2008-07-06,1044.5,0.0,existing_project_raw_oil_project_csv
2008-07-07,1044.5,0.0,existing_project_raw_oil_project_csv
2008-07-08,1026.25,-0.017472474868358012,existing_project_raw_oil_project_csv
2008-07-09,1000.0,-0.025578562728379994,existing_project_raw_oil_project_csv
2008-07-10,998.2,-0.0017999999999999128,existing_project_raw_oil_project_csv
2008-07-11,1000.3,0.0021037868162692153,existing_project_raw_oil_project_csv
2008-07-12,1000.3,0.0,existing_project_raw_oil_project_csv
2008-07-13,1000.3,0.0,existing_project_raw_oil_project_csv
2008-07-14,1003.8,0.0034989503149054357,existing_project_raw_oil_project_csv
2008-07-15,1006.3,0.0024905359633393687,existing_project_raw_oil_project_csv
2008-07-16,1006.75,0.0004471827486833835,existing_project_raw_oil_project_csv
2008-07-17,1011.0,0.0042215048423144275,existing_project_raw_oil_project_csv
2008-07-18,1013.0,0.001978239366963397,existing_project_raw_oil_project_csv
2008-07-19,1013.0,0.0,existing_project_raw_oil_project_csv
2008-07-20,1013.0,0.0,existing_project_raw_oil_project_csv
2008-07-21,1017.0,0.003948667324777944,existing_project_raw_oil_project_csv
2008-07-22,1014.0,-0.002949852507374673,existing_project_raw_oil_project_csv
2008-07-23,1009.0,-0.004930966469428033,existing_project_raw_oil_project_csv
2008-07-24,1006.8,-0.002180376610505519,existing_project_raw_oil_project_csv
2008-07-25,1007.0,0.00019864918553835764,existing_project_raw_oil_project_csv
2008-07-26,1007.0,0.0,existing_project_raw_oil_project_csv
2008-07-27,1007.0,0.0,existing_project_raw_oil_project_csv
2008-07-28,1006.0,-0.0009930486593843213,existing_project_raw_oil_project_csv
2008-07-29,1006.0,0.0,existing_project_raw_oil_project_csv
2008-07-30,1012.3,0.0062624254473160335,existing_project_raw_oil_project_csv
2008-07-31,1011.5,-0.0007902795613947688,existing_project_raw_oil_project_csv
2008-08-01,1086.5,0.0741473059812161,existing_project_raw_oil_project_csv
2008-08-02,1086.5,0.0,existing_project_raw_oil_project_csv
2008-08-03,1086.5,0.0,existing_project_raw_oil_project_csv
2008-08-04,1016.75,-0.06419696272434428,existing_project_raw_oil_project_csv
2008-08-05,1017.0,0.00024588148512427743,existing_project_raw_oil_project_csv
2008-08-06,1015.5,-0.001474926253687281,existing_project_raw_oil_project_csv
2008-08-07,1016.0,0.000492368291482137,existing_project_raw_oil_project_csv
2008-08-08,1028.0,0.011811023622047223,existing_project_raw_oil_project_csv
2008-08-09,1028.0,0.0,existing_project_raw_oil_project_csv
2008-08-10,1028.0,0.0,existing_project_raw_oil_project_csv
2008-08-11,1030.0,0.0019455252918287869,existing_project_raw_oil_project_csv
2008-08-12,1034.2,0.004077669902912584,existing_project_raw_oil_project_csv
2008-08-13,1039.5,0.005124734093985728,existing_project_raw_oil_project_csv
2008-08-14,1039.5,0.0,existing_project_raw_oil_project_csv
2008-08-15,1039.3,-0.00019240019240018835,existing_project_raw_oil_project_csv
2008-08-16,1039.3,0.0,existing_project_raw_oil_project_csv
2008-08-17,1039.3,0.0,existing_project_raw_oil_project_csv
2008-08-18,1042.8,0.0033676513037621536,existing_project_raw_oil_project_csv
2008-08-19,1051.3,0.008151131568853165,existing_project_raw_oil_project_csv
2008-08-20,1047.3,-0.0038048130885570686,existing_project_raw_oil_project_csv
2008-08-21,1053.6,0.0060154683471784764,existing_project_raw_oil_project_csv
2008-08-22,1062.3,0.008257403189066093,existing_project_raw_oil_project_csv
2008-08-23,1062.3,0.0,existing_project_raw_oil_project_csv
2008-08-24,1062.3,0.0,existing_project_raw_oil_project_csv
2008-08-25,1077.8,0.014590981831874128,existing_project_raw_oil_project_csv
2008-08-26,1087.5,0.008999814436815745,existing_project_raw_oil_project_csv
2008-08-27,1084.0,-0.003218390804597737,existing_project_raw_oil_project_csv
2008-08-28,1081.3,-0.0024907749077490715,existing_project_raw_oil_project_csv
2008-08-29,1089.0,0.007121057985757906,existing_project_raw_oil_project_csv
2008-08-30,1089.0,0.0,existing_project_raw_oil_project_csv
2008-08-31,1089.0,0.0,existing_project_raw_oil_project_csv
2008-09-01,1204.800048828125,0.10633613299185041,existing_project_raw_oil_project_csv
2008-09-02,1134.45,-0.058391472424451196,existing_project_raw_oil_project_csv
2008-09-03,1147.9,0.011855965445810801,existing_project_raw_oil_project_csv
2008-09-04,1130.3,-0.015332346023172905,existing_project_raw_oil_project_csv
2008-09-05,1117.8,-0.011059010882066733,existing_project_raw_oil_project_csv
2008-09-06,1117.8,0.0,existing_project_raw_oil_project_csv
2008-09-07,1117.8,0.0,existing_project_raw_oil_project_csv
2008-09-08,1081.2,-0.03274288781535151,existing_project_raw_oil_project_csv
2008-09-09,1099.5,0.016925638179800195,existing_project_raw_oil_project_csv
2008-09-10,1091.3,-0.007457935425193352,existing_project_raw_oil_project_csv
2008-09-11,1110.0,0.017135526436360404,existing_project_raw_oil_project_csv
2008-09-12,1106.5,-0.003153153153153121,existing_project_raw_oil_project_csv
2008-09-13,1106.5,0.0,existing_project_raw_oil_project_csv
2008-09-14,1106.5,0.0,existing_project_raw_oil_project_csv
2008-09-15,1117.85,0.010257568910980508,existing_project_raw_oil_project_csv
2008-09-16,1159.75,0.037482667620879484,existing_project_raw_oil_project_csv
