date,title,url,source_name,language,keyword,event_name,relevance_label,domestic_risk_score,kor_pressure_score,kor_up_article,kor_down_article,kor_neutral_article
2009-06-03,"GS칼텍스 노사, '무파업' 명문화 - 매일노동뉴스",https://news.google.com/rss/articles/CBMib0FVX3lxTE9jZXBtTG0wRlBTT2xRLWVZSzFhQ0ZFU0oydUtONUYtblEtMzdINURPbVlpcC1ncklaNGJfQzhxZ1NvQXFGSXl1MDNQbVhRenJTT2kwZk1QUGFXMkFEZ19JTXpkX1VyeFJacGh6NWw1QQ?oc=5,매일노동뉴스,ko,정유공장 파업 공급 차질,refinery_labor_or_supply_risk,relevant,,3,1,0,0
2011-06-23,"GS 석유수급난, 직영주유소가 직격탄 - 에너지플랫폼뉴스",https://news.google.com/rss/articles/CBMia0FVX3lxTE95ZFZ2bHZkdlFwU0JLdFNpWGxlTVBCMUthYmhjazc3MlY5NXZIZnE5djRMZkZJZExBVm5XdE41R3dzWjdLbmE2OHprSWRIeDVDVWZvOFkwUF9sUENQQXFKMTNhaERZTkw5bG5R0gFvQVVfeXFMUEhjUDNDc2k5cU40eFZGeHRkeDFKenY1V1BqVm5BMDJ1cDVYZU93bGlhUzY3aGtGSGFkaHd5VkphSXJfVWJFOVprd0Z2eU1WaGo0eU5fSkZOZGYybjdia1o2cklqMnY4bDVja19XWjZR?oc=5,에너지플랫폼뉴스,ko,정유사 공급 차질 휘발유 경유,refinery_labor_or_supply_risk,relevant,,1,1,0,0
2013-12-12,철도파업에 시멘트 수급 우려…장기화땐 석탄도(종합) - 네이트,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9ackZZUi1sSWV5V09lTDJJQWdZeDNFd0k3aGU4WnZ5a1U2RlVlQ0pKcmRKUmdibElEZFhFRmhIQ2tWQzJyVEdCYXJkYWc3NnVMRE42T0RKaUV6cnlaRzIzbA?oc=5,네이트,ko,정유공장 파업 공급 차질,refinery_labor_or_supply_risk,relevant,,3,1,0,0
2017-02-28,고사 위기의 급유선업계…낙후된 유통구조·저운임 - 해양한국,https://news.google.com/rss/articles/CBMiekFVX3lxTE9TR2pDNldWVjRrZlRjOHBoOXQzWndnYzMxUFhWX2k3dVV2LUp5WTVSUTYtOEJoR3hiVzM2dVI3bF9Wd05jcFdvZEswWDBvTFYtemZrMXh3c1poR3FmdU8za2pkMUpkMU5pbzlTbkhyX2k5V01DVEljbVp3?oc=5,해양한국,ko,정유사 파업 유류 공급,refinery_labor_or_supply_risk,relevant,,0,0,0,1
2018-07-31,9주째 오르고 있는 기름값... 낮보다 밤에 주유하면 이득인 이유는 - 중앙일보,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5icXFDcDBuZjhCbVVvSXRqWEwzZTJ2S3Q1WkxDMFRKQ1E1eF9DcFNEV2VkT0RNbFBUVG5XWkx6Q3V6RUxQZWxocW1JLVB1VU42XzZ2ZmFR?oc=5,중앙일보,ko,국내 유가 안정 휘발유,domestic_price_decline,relevant,,0,0,0,1
2018-10-07,"불난 송유관공사 '저유소'는 어떤 시설?…""휘발유 공급엔 차질 없어"" - 조선일보",https://news.google.com/rss/articles/CBMie0FVX3lxTFBsZEs4eFFNZXkzSlhfQzF1WXBpaUlZR0FGV2NsLXY2blVucG5IOXNVSV9sUHNfTlkybTY4a0dIempIdTUxSVpmaTdLWXNLQmo1dXlYQ254dUluRFEzLU5WUGJJVS1rNlRtTVIwLTFBQ1ZQRUl0MTJFTERYVQ?oc=5,조선일보,ko,정유사 공급 차질 휘발유 경유,refinery_labor_or_supply_risk,relevant,,0,0,0,1
2019-04-14,"""유류세 뿐만이 아니다""…기름값 '잔인한 5월' 상승요인 집중 - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBlRmxkemsyNDR0ekNiTUtOZE10Z1hicmNjaW5jSURadFFhZFZSQW95S1pvSUVNYmRWV09qSFNSMnFpS19XS044Rk1hQnZQZjI5T05aa3JtQlFHaW_SAWBBVV95cUxPLVdJQ2lfNFMxanphVUhKb3oyUnR5d1pDbTUxZVE0MzJ5dzFYUnEzVDRPMGRsZGZNX1I2N2ZQcE9QNFlCdkV4c2RJTExKQU53YXZrMHFyb1BRTXBtSllnS1Q?oc=5,연합뉴스,ko,국내 휘발유 가격 급등,domestic_price_surge,relevant,,2,1,0,0
2019-12-29,‘제주 삼다수’ 첫 파업에 사장 사표···60일 넘어가면 공급 차질 - 아주경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1uY0NaYnlmcXV3ZXdXUXQ2czJZbllHSVVadU14bUpFSjNOOTlBNVdycm4wOUpGazZUZ1UzdmZBM1B2MVNyR0c5ckVLQ3Z1LThyMF9GeWxDM1hVZ9IBWEFVX3lxTFBLeDFSOWs1OWswYk9mS2E0REt4VFBlaHlmNV94R3RnXzU2WFFUMUQzNzRsamQ4ZGtMZTdzM1NiOHI3amg4ZDRPekZQT3dYZExMc1dPRFFJRko?oc=5,아주경제,ko,정유공장 파업 공급 차질,refinery_labor_or_supply_risk,relevant,,6,1,0,0
2020-12-17,"미국에서 4천억 문 유류 공급 담합, 한국이라면 과징금 얼마 나왔을까 - KBS 뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1pQnJRTHRhN2ZKVTNtTDU3OXB3V2FSZzR0eUdoSExGNmRnV2w1ckNWQ2hUaWpfNFBWanJxRDBZSGZ3b01MUHhqTVd0LTY3eEZyMExWNWc2UGZCV0E?oc=5,KBS 뉴스,ko,정유사 파업 유류 공급,refinery_labor_or_supply_risk,relevant,,0,0,0,1
2021-05-13,미 동부 ‘기름 사재기’ 대란 “이런 모습 오일쇼크 이후 처음” - 한겨레,https://news.google.com/rss/articles/CBMigAFBVV95cUxQMkNPell2NjU5ZnBVYml6bVVuWkhwRjNMN1dNT1Q4UllJMFVOVndfSl9PSTZQWjRQTmpIVkFEMVROaVlHd2JDYXZaMXNqbE5GQ3hIWlhxUmF6bGZUYVpaOURmOGFOQmlKRnRISWNBM2YzUGhXTlMtTzdzTnBYaXNJRg?oc=5,한겨레,ko,주유소 유류 공급 차질,gas_station_supply_shortage,relevant,,3,1,0,0
