date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2020-02-03,"Oil drops 2.8% on coronavirus fears, dips below $50 per barrel - CNBC",https://news.google.com/rss/articles/CBMiygFBVV95cUxPMzRDclZJa29BOHFNN1o5TDVDZjVvTUVrMG5ROF9oci1zOTQ4X0JtS0JhNFhEbzhDbDY1SmladVlWSWRBZGc4aUEzVFQ2U0c2bllMMUJxZkZWRk5KSGFVUTducjNrR3Y4WGRNZ1FhTmRhT1M5dDFIcTlMelFGWlN3QW5OMHBndUtnRWdPbUYteXMzRzV3WWthUnFyS0I4bHVNQmdwaTdrTGRJS1pXb01Xbi1DaFlPXzJJWXcwZkxJemRMZEd1a1E1NXBB0gHPAUFVX3lxTE1SQi1xeWZHTkY0bk1TSWZPX2ZneHFjVlltNmhraEhfbHZnNWsyeFRDdm53Mmt5aFhVTEZlZUFkeXVHT3RRbjN4cVh1OE40b2xyT05UZ2t2b0J4N3pxZWJoQ2tVOGh5R29kQlZnZVlXNEQ2cU92RGY0ZFU5dXRfc25naE1MSXVSUWRaQzlsQnBwYW5vYzU0aE9uZGtwV2hmNUEtVXZzb0lObkd1MGJDR1hLcnNkTXgxTm9KRWw2Tjc2UEFuQlFhUmNLOEc0QVdlcw?oc=5,CNBC,en,COVID oil price,covid19_pandemic,relevant,0
2020-02-03,Coronavirus and oil: Why crude has been hit hard - BBC,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5kZ0FGRzVYY3Y0aVBINHo2WThuUnlIRUpwQ29OSVlqbXhDRS1mQnJMWnBYSk1Pb0tYVFJvSzR0eGN4TW14STRtTjNqODk2SnNBOEZ2MQ?oc=5,BBC,en,coronavirus crude oil,covid19_pandemic,relevant,0
2020-02-07,Natural gas prices tumble to historic lows as one energy CEO quips: 'Send me an ice blizzard' - CNBC,https://news.google.com/rss/articles/CBMipgFBVV95cUxPbFpTaU1vVlNMNlNHenVTM3VEcHBnc0k3YXY2QjdNdHRweElkWmx1U0U4VE1UOUJHaGFKdEltMkp0U2lpeTRYdEc2X1hyTUZCMGduSjRqLVNwempKaUk2SW4tZk5ocUw0TVlrdXU2akF5SEU4MDh4OFpFcWhjQzA5OFgwWF91c2ozV1RRcWRsVlJHcTM0U1I4LXBnV2Z2LVlDN3lQbUZ30gGrAUFVX3lxTE95UGRfWjFpZDh4WUpTcU5NQ3czVjd6UHFkdFdRTkFxOTZCTnZZMkxweXNreWJ1YkdCS0VFYlMtb05aSi1sMVh0SDRnWktPRS1XX3JLRU1SR1NqTXd3ZVJNMUVMYXdrRkVOWGFTc3dscnpZbVZOOXY2bkktUDhjd2ZkQ3UxeldNT19NSmk4ZjRKU0JGUmFvbWsteFdaV09Nd2FDMDlIREE5TlRvOA?oc=5,CNBC,en,COVID gasoline price,covid19_pandemic,relevant,0
2020-02-13,Oil Market Report - February 2020 – Analysis - IEA – International Energy Agency,https://news.google.com/rss/articles/CBMia0FVX3lxTE5GYW1rbDRxdG16VTlSdURFbkZwOUxoZTJUdTIxUmF4Vm9OWjE5VHpCNThsRl9OTEZ5OHFGUThfa3ZPay1HY1FnUVhpSy1lN01oaTBtRXFOVXZwajctamRhWVF3SnNLUy02OTg0?oc=5,IEA – International Energy Agency,en,COVID oil price,covid19_pandemic,relevant,0
2020-02-26,Oil Falls to 12-Month Low on Coronavirus Concerns - WSJ,https://news.google.com/rss/articles/CBMilAFBVV95cUxNZG9CRmQtekh5aFBmdEZPNXNGQktfcmpYWEhZVVhqSkVTdlBhYW5nLWg5VXN0WnJ0MUpoVlczT3dhcVNfMVVCVndWSUQzeG9oN2xaNWhDVXpXZjJ6dFROYXp6M3NsZW1zVk15MUZ6Vk1nSm9XZ1NtN0lOQi1URG03aTljOE9XcFVGX3lOOERxamFGd1Rn?oc=5,WSJ,en,coronavirus crude oil,covid19_pandemic,relevant,0
2020-03-02,Gulf stock markets hit as coronavirus sinks crude oil prices - Middle East Eye,https://news.google.com/rss/articles/CBMimAFBVV95cUxQVnRoenYxMWdkMkl1VzZ4ZUJMUVlmLTJyQmY4LUJSQ01zS2NEbHUwVUFyVzY3STdtTnprbW5lcVo2eWgycXdkMUs4VHltWnEzcHVQdk9qYTZ5RFRTOTBVUEtrUTB5RkV1QWd0VzFsdmpWWVFUdDNHQ3FyaWR2Qy1ObUl2TVZ5NHVhY1ZsbGhQSkNOSmRSM0tzeg?oc=5,Middle East Eye,en,coronavirus crude oil,covid19_pandemic,relevant,2
2020-03-03,Coronavirus in the Middle East and North Africa: What do we know so far? - Middle East Eye,https://news.google.com/rss/articles/CBMinwFBVV95cUxNTkl3Ny1CT3ZnX3AtSlFGSlptU0xwQXMzWm81TEhiZjZfXzlLRkl3ZFZsZ1liWVJUWHBPd2JCYmtUVU5ROEVSSl9NUGdUU1dwYUZDR0FoM2JWcXB2blVfSWNyOE96RmtyRTVRQnQtaGkxMmd1dnN2aGJDUUV3T09EaFhrSlNSaFdselo2N01qZTZCTzNLT0lFSTNIRUVKbVU?oc=5,Middle East Eye,en,coronavirus crude oil,covid19_pandemic,relevant,2
2020-03-04,Coronavirus: The psychology of panic buying - BBC,https://news.google.com/rss/articles/CBMiogFBVV95cUxNbzF0S2RUUHRPTDF4NlFRS1NiODJTNnZkeElyM3NqQktDeWRPUHlGbmZFN2MxSFR2dVRpMEd3T1ZoeV92Tm93ZHJWbDNmd0ttbVFKY0NQbWRXUUllZnl2NDM0WDNiMFhBTDdWemkzOC1tVlkxUHhUb0pmMzJjSE9MeHBha0tKVDNoa01iS1E1cmRCLXNzalZOVXN2andFcjhtc3c?oc=5,BBC,en,coronavirus crude oil,covid19_pandemic,relevant,0
2020-03-05,Consumers see cheaper gas at the pump as COVID-19 reduces demand for oil - marketplace.org,https://news.google.com/rss/articles/CBMidEFVX3lxTFBFM2prLUtqeDNsc0doU0RUWjlDNXA5VEV1eVhoUVExVlU0a0NYUFptVjZGUVh3Y1BFTGpJb0thS2lzNjhBR0pDSTl2S2hGRkYwSnNoU0VGMTRxTlZXTEMtQlI3Skh2T1lrQlpfdTZpV0x2cnBi?oc=5,marketplace.org,en,COVID oil price,covid19_pandemic,relevant,0
2020-03-06,"Stocks and Bond Yields Sink, Capping a Week of Wild Trading (Published 2020) - The New York Times",https://news.google.com/rss/articles/CBMid0FVX3lxTE1ERW9VZS1odXJ4UHF5N3d5cWJfRU1HdFRMaS1HYXpLN2NSS2NzaWVqcWRjbGtySUFIM2ZtdWcyVVlRdGNjMXRXbU81MTBieEVMMEF5WEZoc2hYR3FTSFFoTWhiM2ttM0YxaW5jYjY1VXJLWURzSW5n?oc=5,The New York Times,en,coronavirus crude oil,covid19_pandemic,relevant,0
2020-03-08,Oil Prices Dive as Saudi Arabia Takes Aim at Russian Production (Published 2020) - The New York Times,https://news.google.com/rss/articles/CBMifEFVX3lxTE9JamZLdTM3YUlES0FnR29TWmZQRDc0TXVFcGFUZmNMcERfZFh3VGEtNjRYUC1ZMlhueTBXRUtfZzYwSldIUDhQNGkyRFZ3VTVsRklFMEJiVkVNclBLNF9LZmNkUmJkb3lEeFpYdG5Cd0NOMHk5SUdCS3VlZkY?oc=5,The New York Times,en,coronavirus crude oil,covid19_pandemic,relevant,0
