date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2008-06-04,New Petrol and Diesel Prices Effective 5th June 2008 - Paul Tan,https://news.google.com/rss/articles/CBMijAFBVV95cUxQTW5oYjUyYmhWMndZaEp4RWRnSF9lamFPcmhyLVljZnloM1Q5cVNjM05FSUV6VFA2LUVVOF9udlBNRklpSzh1N1F4d3NEV1g2clZQVXRCYzJQY0lVZmJNWFRETzNkS05tOVVNLUNRTndGaWNUd1pLTlliQjYwR1BhUVV0Nk1XMjNWV3hxMA?oc=5,Paul Tan,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-06-05,The oil shock of 2008 - Econbrowser,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5tX3pqbEdMQ3hsZy1IQktvQ0tvNTMwMHVRaEJVSGU1OThsQkRTOXNTbzBXN21icTZESkZ4QzJBNTE5UjRIRmYzUWNhajA5a0xMLVMzNVFPZTNFcVhtUWUzd1NHeWVEWGc?oc=5,Econbrowser,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-06-05,Analysis: The global food crisis - Al Jazeera,https://news.google.com/rss/articles/CBMie0FVX3lxTE1scjRwczlNdGNNTVJSYWMzbU1qeW51TlFkcDNEZDdTenFFMGlrVFpHSE9QNHNpcTB5cDNtbU1sY3c0WjV6V1d1ZDVjZlJXRktPV2lMb3BYLWkyWGJ2T1R1R3pILVFoMVhSak5WR2REWDRNay1scTNQTWNPSdIBgAFBVV95cUxNeDRIOEhPSEotZHlubUtIc0kzTjJkcGlaYkNqNG1ZYlJHaWNJbF9XZFc1N1dLZUZjd3ZXbURHR2RwLUNVU0dRRVV3Yld6aVdUYzEtOXMtTVd4UFVBakVscmRHRVpnMHZzeG1yWWRmZmdfYkN4N21GUm1DbVE2aGJmYg?oc=5,Al Jazeera,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-06-06,Oil price makes record jump ahead of energy talks - Australian Broadcasting Corporation,https://news.google.com/rss/articles/CBMinAFBVV95cUxNelplVXBRWVNtT3FBa0h4NWVtTkxFTGREU3FDX2xiUDQ5MGNVX290bXRzSFJXOF9LRjdCUzFhZnFQQUoydVplMzhQM2lfZVNsazlxc3M2M1JfZHA0R3pzcHVoUU5OMmxLNmdRblVKTzNJa3dydzZhclFrdW1Pd1lSNnltcWcxNDVScmpWd05fN1RFc09JeENPajRjWEU?oc=5,Australian Broadcasting Corporation,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-06-09,Business | Why the oil price keeps rising - BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBzQXhvYTJjcFY4QVBTa2RWWUdlV0lNNDhVZXlFbHdiWllhdnlOSWstQzEyT21tdmVzbnFYUzkyZXhxV0FOdG9sSnZYR0c5QWo0a3NUb2tVVmM0d1E?oc=5,BBC,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-06-24,Philippines: Dealing with the oil crisis - Transnational Institute,https://news.google.com/rss/articles/CBMiekFVX3lxTE95TkxkdzlVLVYxc1FDZEpab1pwdEhBRTI4am9GckFVemttMG5pdWQydzhMLTc4cTBpeU5PLWFZcmd4Y2daTjIxVGY3SUJ3dWlGSVFrdWlVcjJqQTMxVXRqVldUZ2JhRjVRcUZxTnV6ZG9XTTd0U3ZuRm5B?oc=5,Transnational Institute,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-07-29,GMA: We will survive crisis - Philstar.com,https://news.google.com/rss/articles/CBMihAFBVV95cUxOZ2lGN29ud3hwaVJQSklFWk9ySG1hNFVjQWQweGl1azRkb1A5alNvZlRhMDIyRmdWdGkzRUFPanhkNVpsSlpETS1RRVdXamV1bjU2LVZqV1QzNmY0ckFUMXVjU3VtYndxcV9fY1I2UU9oZTAwdkkyZkVlYkRSR19NN3drVUHSAYsBQVVfeXFMTnBSbVVxNy00X203c3k5YnRqMDJxRFFmU1ROdHdnVy03VVhLRGd2VDBnclRNVF9ya0lWNVZ6MnBMR2FKdVo3WWtpWlVMT0lxekFZeXJyU2N0M1NLalc1Mk5oZE0yRXkzNHNWM2k2dmotUkRCbHBGd0hqdEJZSUpwM2J2YV9tR0ltQ1ZQTQ?oc=5,Philstar.com,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-08-12,Fertliser crisis sparks civil unrest in developing countries with 500% price hikes - The Guardian,https://news.google.com/rss/articles/CBMic0FVX3lxTE4wYTVkWU9scUNHOHhMWnJOU2d2V1JWWEMybWpaMXJQbW5SQ3ZiOC1hb1paRUlqbm9qaURTUUFHM2dPNFlPb05FWW94TEcwZHVjVjRFb18zUkdkajQ1LXdubUVVbHpEMF9mYkxZbGhIanVnVU0?oc=5,The Guardian,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-08-20,"The ""Whale Oil Myth"" - PBS",https://news.google.com/rss/articles/CBMidkFVX3lxTE5kVkpQZnlmeTJiWU9BcFVBQndOQUlrU3JadExjTTZfbVd2M0wtWEpjQzQwZkN6MGxleFpjamRnUGMtdm9hQ2otSU12U2hJZzVyLWRaWXE1S3pCMkstUXJTY3VQaDRFa3czek5aa25vd2E3cHhZUEE?oc=5,PBS,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-08-29,Travellers stranded as budget airline Zoom collapses - The Guardian,https://news.google.com/rss/articles/CBMijwFBVV95cUxNZlZ1ckdGWW13R2U1X0lBS2k5eldFbkZ2R3BhMjMxckN6a3BPdmNwNTNtU0dHRUExNEhOc0pnQXF2a0RuejZfZnBTZEFvZjIzbGhsUXJCYjZWa3RZbEtkRmt1SVBWbEhmN2tPaExDdGw2NHl5X2VwckRwbHRFYlNfNldJeVZtT0pvdzFMRm4tTQ?oc=5,The Guardian,en,oil price collapse 2008,global_financial_crisis,relevant,0
